dataset,template_count,bin_count,min,top1,top2,top3,mean,medium,std
Android,166,125,1,4,4,3,1.328,1,0.629615755838432
Apache,6,5,1,2,1,1,1.2,1,0.4
BGL,120,77,1,7,5,4,1.5584415584415585,1,1.1106743767909246
Hadoop,114,86,1,8,3,3,1.3255813953488371,1,0.9078707579508435
HDFS,14,14,1,1,1,1,1.0,1,0.0
HealthApp,75,58,1,3,3,3,1.293103448275862,1,0.5874732771517525
HPC,46,34,1,4,3,3,1.3529411764705883,1,0.7228356310261476
Linux,118,69,1,5,5,4,1.710144927536232,1,1.0370170330433808
Mac,341,226,1,7,6,5,1.508849557522124,1,0.951203943415307
OpenSSH,27,21,1,2,2,2,1.2857142857142858,1,0.45175395145262565
OpenStack,43,24,1,6,5,3,1.7916666666666667,1,1.3222193043852024
Proxifier,8,8,1,1,1,1,1.0,1,0.0
Spark,36,29,1,3,2,2,1.2413793103448276,1,0.5020765440883117
Thunderbird,149,95,1,7,4,4,1.568421052631579,1,0.9910401933423005
Windows,50,35,1,3,3,2,1.4285714285714286,1,0.5993193418115152
Zookeeper,50,39,1,6,2,2,1.2820512820512822,1,0.845765256536956
